TheManilaTimes,2017-09-11 1:41,1,3,Duterte fetes soldiers injured in Marawi https:// goo.gl/fNsqw8 pic.twitter.com/TmMOr9TjHG,,,,906935752818171904,https://twitter.com/TheManilaTimes/status/906935752818171904
TheManilaTimes,2017-09-11 1:32,0,0,Duterte fetes soldiers injured in Marawi https:// goo.gl/fb/Qksv2z,,,,906933333438935040,https://twitter.com/TheManilaTimes/status/906933333438935040
PTVph,2017-09-11 1:30,1,2,#UlatBayan : Pilipinas at Australia magsasagawa ng Joint Military Trainings para sugpuin ang terorismo sa Marawi City https://www. youtube.com/watch?v=2zu4jZ kfkJA …,,,#UlatBayan,906932788108066816,https://twitter.com/PTVph/status/906932788108066816
DailyStarPH,2017-09-11 1:29,0,0,Robin on Marawi and Shawie - https://www. dailystarph.com/robin-on-maraw i-and-shawie/ … pic.twitter.com/My8igOQ6nK,,,,906932584852213760,https://twitter.com/DailyStarPH/status/906932584852213760
TravisA144,2017-09-11 1:25,0,0,Important thread on the battle for #Marawi #Philippines https:// twitter.com/SaladinAlDronn i/status/906928764327735296 …,,,#Marawi #Philippines,906931548603252736,https://twitter.com/TravisA144/status/906931548603252736
dudus2017,2017-09-11 1:23,0,0,Suna : #PushAwardsMayWards nabusog na si Suna na napaka Dramatic pagkatapos niang dilaan ang marawi MAYWARD ONLY,,,#PushAwardsMayWards,906931179579944960,https://twitter.com/dudus2017/status/906931179579944960
spinsterAtashi,2017-09-11 1:22,19,3,#PushAwardsMayWards nabusog na si Suna na napaka Dramatic pagkatapos niang dilaan ang marawi MAYWARD ONLY,,,#PushAwardsMayWards,906930860259246080,https://twitter.com/spinsterAtashi/status/906930860259246080
SaladinAlDronni,2017-09-11 1:19,1,3,And Duterte is undecided of what to do next. He vows to do something,,,,,
SaladinAlDronni,2017-09-11 1:17,1,1,They still have over 30 hostages,,,,,
zyiteblog,2017-09-11 1:15,0,0,Robin on Marawi and Shawie - Action star Robin Padilla hogged the headlines recently,,,,,
SaladinAlDronni,2017-09-11 1:15,1,2,"to negotiate with the terrorist Maute group."" I don't know how many times Duterte called and abandoned talks with IS and Isnilon in Marawi .""",,,,906929064946098176,https://twitter.com/SaladinAlDronni/status/906929064946098176
SaladinAlDronni,2017-09-11 1:14,1,2,"PRESIDENT Rodrigo Duterte on Saturday night confirmed he had allowed former Marawi City mayor Omar Solitario Ali""""",,,,906928855071514626,https://twitter.com/SaladinAlDronni/status/906928855071514626
phildaily,2017-09-11 1:13,0,0,Military ready to rehab Marawi City | SunStar - http:// Sun.Star https:// goo.gl/fb/hik5XV,,,,906928719981367297,https://twitter.com/phildaily/status/906928719981367297
itsjlsmark,2017-09-11 1:06,0,7,Laban! pwde na sa marawi @leviesz @keith pic.twitter.com/MB0XDe7qOT,,@leviesz @keith,,906926743855886336,https://twitter.com/itsjlsmark/status/906926743855886336
Marawi_44,2017-09-11 1:05,0,0,حسبي الله لا إله إلا هو عليه توكلت وهو رب العرش العظيم http:// du3a.org /,,,,906926569318481920,https://twitter.com/Marawi_44/status/906926569318481920
1MillionPHL,2017-09-11 1:04,0,0,The very latest news and videos updated every hour (Robin on Marawi and Shawie) has been published on http:// 1millionfilipinos.com/robin-marawi-s hawie/ …,,,,906926431225004032,https://twitter.com/1MillionPHL/status/906926431225004032
DannyPangan01,2017-09-11 1:00,0,0,Ang saya nila sa marawi oh?,,,,906925474529640449,https://twitter.com/DannyPangan01/status/906925474529640449
dudus2017,2017-09-11 0:59,0,0,Suna : #PushAwardsMayWards nabusog na si Buang Suuna na napaka Mixing pagkatapos niang dilaan ang marawi MAYWARD ONLY,,,#PushAwardsMayWards,906925049239699456,https://twitter.com/dudus2017/status/906925049239699456
MFUOhSehun,2017-09-11 0:58,0,0,mahal na mahal,,,,,
spinsterAtashi,2017-09-11 0:52,16,6,#PushAwardsMayWards nabusog na si Buang Suuna na napaka Mixing pagkatapos niang dilaan ang marawi MAYWARD ONLY,,,#PushAwardsMayWards,906923310121996293,https://twitter.com/spinsterAtashi/status/906923310121996293
mmargauxm2,2017-09-11 0:45,0,0,Marawi,,,,906921650028920835,https://twitter.com/mmargauxm2/status/906921650028920835
edz54512,2017-09-11 0:43,0,0,"kay momshie darla nag refused c ed to showed his CP haha kay MM tiklop sya sana Marawi ka na lang surrender agad-agad"" #PushAwardsMayWards https:// twitter.com/QUEENBELSEY/st atus/906910972069031936 …""",,,#PushAwardsMayWards,906921169210638338,https://twitter.com/edz54512/status/906921169210638338
uMarcasa,2017-09-11 0:33,0,1,Mas marami pang mas nahihirapan sa Marawi kesa sakin tapos paganto ganto nako hahays,,,,906918641932804096,https://twitter.com/uMarcasa/status/906918641932804096
RayikaAdamu,2017-09-11 0:28,0,0,@akaworldwide marawi,,@akaworldwide,,906917254469648384,https://twitter.com/RayikaAdamu/status/906917254469648384
RobertPostings,2017-09-11 0:25,1,1,All the encouragement for hijra to #ISIS in #Marawi will be a significant problem for the #Phillipines worsening an already deadly conflict,,,#ISIS #Marawi #Phillipines,906916634543001601,https://twitter.com/RobertPostings/status/906916634543001601
zicrage76x,2017-09-11 0:25,0,0,Malinis na ba ???? Ang marawi,,,,906916445300420609,https://twitter.com/zicrage76x/status/906916445300420609
RobertPostings,2017-09-11 0:23,1,3,Many #ISIS supporters had travelled to the #Philippines before the battle of #Marawi started https://www. reuters.com/article/us-phi lippines-militants-foreigners/ominous-signs-of-an-asian-hub-for-islamic-state-in-the-philippines-idUSKBN18Q0OO …,,,#ISIS #Philippines #Marawi,906915926573957121,https://twitter.com/RobertPostings/status/906915926573957121
RobertPostings,2017-09-11 0:20,0,1,Making hijrah to #Marawi and the #Philippines is a popular topic in pro- #ISIS telegram channels as well - screenshots from @joshmolloy101 pic.twitter.com/FiJlvriu2c,,@joshmolloy101,#Marawi #Philippines #ISIS,906915305544237056,https://twitter.com/RobertPostings/status/906915305544237056
PHTopNews,2017-09-11 0:19,0,0,Military ready to rehab Marawi City | SunStar - http:// Sun.Star https:// goo.gl/fb/WjHJmw,,,,906915038392451072,https://twitter.com/PHTopNews/status/906915038392451072
Marawi_44,2017-09-11 0:18,0,0,أعوذ بكلمات الله التامة من كل شيطان وهامة وكل عينِ لامة http:// du3a.org /,,,,906914685810876416,https://twitter.com/Marawi_44/status/906914685810876416
goldiepandi,2017-09-11 0:15,0,14,Dili ra pud ko alone. Hahahaha rxn paper kaayo si mama sa Bangon Marawi na MMK pic.twitter.com/fo3YPTT8NG,,,,906914072624377856,https://twitter.com/goldiepandi/status/906914072624377856
RobertPostings,2017-09-11 0:10,1,0,Recent issues of Rumiyah have also encouraged #ISIS supporters to make hijrah to #Marawi and the #Philippines pic.twitter.com/urieshKAo4,,,#ISIS #Marawi #Philippines,906912875108720640,https://twitter.com/RobertPostings/status/906912875108720640
trendinaliaPI,2017-09-11 0:08,0,1,➎ the boy ➏ Marawi ➐ Lotto Result September 9 2017 ➑ Inferno ➒ Grandparents Day 2017 ➓ Pvl Live Stream 2017/9/11 00:08 +08,,,,906912178229321728,https://twitter.com/trendinaliaPI/status/906912178229321728
