PhilippineStar,2017-07-08 20:00,2,8,Rody tries to enter Marawi.,,,,883656926877421568,https://twitter.com/PhilippineStar/status/883656926877421568,en
PolitikoWatch,2017-07-08 20:00,0,0,Critical situation in Marawi prompted Duterte to declare martial law,,,,883656921684881408,https://twitter.com/PolitikoWatch/status/883656921684881408,en
deanjorgebocobo,2017-07-08 19:59,6,3,((folks)) We must pay close attention to COLLATERAL DAMAGE in Marawi since the President seems to have embarked on Scorched Earth tactics.,,,,883656884351148032,https://twitter.com/deanjorgebocobo/status/883656884351148032,en
deanjorgebocobo,2017-07-08 19:57,1,0,A report today has the AIR FORCE bombing Marawi trying to dislodge a mere 80 terrorist fighters. All regard for CIVILIAN CASUALTIES is gone,,,#,883656193859661825,https://twitter.com/deanjorgebocobo/status/883656193859661825,en
Duterte24x7,2017-07-08 19:52,2,0,Gun-toting Duterte visits Marawi soldiers | ProtectPPRD,,,#,883654971522035712,https://twitter.com/Duterte24x7/status/883654971522035712,en
deanjorgebocobo,2017-07-08 19:50,1,0,AFP & PNP can't seem to get it together here. Marawi is unresolved. Aren't we short on trained combat troops? Why is PNP sending scalawags?,,,,883654627370991616,https://twitter.com/deanjorgebocobo/status/883654627370991616,en
tagpi1,2017-07-08 19:47,0,0,What about bato lead the war & stay in Marawi.,,,,883653665482866688,https://twitter.com/tagpi1/status/883653665482866688,en
bacs07,2017-07-08 19:46,0,0,Marawi airstrikes target high-rise snipers —military spokesperson,,,,883653446108422144,https://twitter.com/bacs07/status/883653446108422144,en
betseyklark,2017-07-08 19:42,0,0,"Although he never reaches Marawi, the man desecrates the uniform of the men & women who are currently fighting for peace in southern PHL.",,,#,883652614323281922,https://twitter.com/betseyklark/status/883652614323281922,en
jobereggarcia,2017-07-08 19:40,0,0,Exactly happening in Marawi.,,,,883652021718368256,https://twitter.com/jobereggarcia/status/883652021718368256,en
LOCALNEWSNgayon,2017-07-08 19:40,0,0,"ARMM official: Don't blame Maranaos for Marawi conflict, we're victims here | Read: via GMA News",,,,883651948301471744,https://twitter.com/LOCALNEWSNgayon/status/883651948301471744,en
trixygo92,2017-07-08 19:40,0,0,MailOnline that video taken in Marawi????,,@,,883651923139731461,https://twitter.com/trixygo92/status/883651923139731461,en
phildaily,2017-07-08 19:39,0,0,Air strikes target high-rise snipers in Marawi - Rappler,,,,883651630519943168,https://twitter.com/phildaily/status/883651630519943168,en
tagpi1,2017-07-08 19:38,0,0,Poor Marawi. Garbage police damping ground.,,,,883651405654835200,https://twitter.com/tagpi1/status/883651405654835200,en
gmanews,2017-07-08 19:33,10,12,Former Maute child-warrior says leaders ordered around 96 armed youngsters to leave Marawi and continue jihad elsewhere. | chinogastonhttps://,,@,,883650252858732546,https://twitter.com/gmanews/status/883650252858732546,en
chinogaston,2017-07-08 19:29,0,4,Former Maute child-warrior says leaders ordered around 96 armed youngsters to leave Marawi and continue jihad elsewhere. 1,,,,883649158384566272,https://twitter.com/chinogaston/status/883649158384566272,en
teddyboylocsin,2017-07-08 19:28,6,15,"Happening in Marawi, southern Philippines.",,,,883648947838955520,https://twitter.com/teddyboylocsin/status/883648947838955520,en
gmanews,2017-07-08 19:27,5,20,"ARMM official: Don't blame Maranaos for Marawi conflict, we're victims here",,,,883648854842724352,https://twitter.com/gmanews/status/883648854842724352,en
deanjorgebocobo,2017-07-08 19:21,0,2,A half-company sized group of terrorists is holding out against the AFP using bombs in Marawi. Expect massive COLLATERAL_ DAMAGEhttps://,,,# #,883647217306787841,https://twitter.com/deanjorgebocobo/status/883647217306787841,en
gmanews,2017-07-08 19:18,11,32,LOOK: Schools and houses among those destroyed in Marawi as fighting continues. | via,,@,,883646541197475841,https://twitter.com/gmanews/status/883646541197475841,en
chinogaston,2017-07-08 19:17,1,3,Schools and houses among those destroyed in Marawi as fighting continues.,,,,883646160535117824,https://twitter.com/chinogaston/status/883646160535117824,en
NofNewsFilipino,2017-07-08 19:10,0,0,No stopping Marawi air strikes to flush out remaining 80 terrorists: military Air strikes will continue to ...,,,,883644358620102657,https://twitter.com/NofNewsFilipino/status/883644358620102657,en
justinecrz,2017-07-08 19:09,0,7,Uber every fucking where marawi,,@,,883644233676013568,https://twitter.com/justinecrz/status/883644233676013568,en
mermaidtatted,2017-07-08 19:07,0,0,I just got an update from marawi's police chief said that his men were arrested by philippine army for doing clearing operations. All this,,,,883643655310852096,https://twitter.com/mermaidtatted/status/883643655310852096,en
acpadilla82,2017-07-08 19:04,0,0,78 evacuation centers for Marawi residents. PhilippineStarphilippinestar …,,,,883642945848713216,https://twitter.com/acpadilla82/status/883642945848713216,en
NofNewsFilipino,2017-07-08 19:04,0,0,Marawi official hits critics: Do not blame Maranaos for Maute rampage A Mindanao official on Saturday slammed ...,,,,883642945118683136,https://twitter.com/NofNewsFilipino/status/883642945118683136,en
PhilDefNews,2017-07-08 19:03,0,0,Marawi thru the Sniper scope of one of the Scout Rangers,,,,883642726901612545,https://twitter.com/PhilDefNews/status/883642726901612545,en
ModernizePH,2017-07-08 19:00,0,0,"EU provides €850,000 to support victims of Marawi crisis U",,,,883641826816798721,https://twitter.com/ModernizePH/status/883641826816798721,en
PhilippineStar,2017-07-08 19:00,2,3,78 evacuation centers for Marawi residents.,,,,883641822064525313,https://twitter.com/PhilippineStar/status/883641822064525313,en
SunStarBacolod,2017-07-08 18:57,0,0,"The President was supposed to go to Marawi City but decided not to push through because of inclement weather,... """,,,,883641243338760193,https://twitter.com/SunStarBacolod/status/883641243338760193,en
ViralVideoHQ,2017-07-08 18:56,0,0,"I added a video to a YouTube playlist JULY 8, 2017 - MARAWI UPDATE | DUTERTE SA MARAWI | MARTIAL LAW IN",,@,,883641051961077760,https://twitter.com/ViralVideoHQ/status/883641051961077760,en
cnnphilippines,2017-07-08 18:56,4,4,AFP: 80 terrorists still occupying high-rise buildings in Marawi,,,,883640981106511872,https://twitter.com/cnnphilippines/status/883640981106511872,en
NCorralesINQ,2017-07-08 18:55,4,6,Pag-IBIG orders 6-month moratorium on loan fee for members in Marawi,,,,883640696850194433,https://twitter.com/NCorralesINQ/status/883640696850194433,en
ValuesMajor,2017-07-08 18:49,0,1,Watching Mistah atm and I can't help but imagine of what's possibly happening to our soldiers in Marawi. Haaaaay.,,,,883639081577570308,https://twitter.com/ValuesMajor/status/883639081577570308,en
africa_report,2017-07-08 18:47,0,0,"Sudan Sanctions, Mosul, and Marawi – The Cheat Sheet 8",,,,883638546149523456,https://twitter.com/africa_report/status/883638546149523456,en
asuncionvic,2017-07-08 18:44,0,0,"PERSONAPOWER SUPPORTS LETTER OF HOPE"" PROJECT FOR MARAWI! Other than our prayers, Many of us would still want... """,,,,883637864776466433,https://twitter.com/asuncionvic/status/883637864776466433,en
cnnphilippines,2017-07-08 18:43,4,6,Artists call for peace in Marawi | NewsroomWeekend,,,#,883637660526366721,https://twitter.com/cnnphilippines/status/883637660526366721,en
politikovismin,2017-07-08 18:42,0,0,AFP explains air strikes in Marawi: It’s the only way to bring down Maute snipers AFP AFPManila afpfr,,@ @ @,,883637497200222208,https://twitter.com/politikovismin/status/883637497200222208,en
dzrhdagupan,2017-07-08 18:41,0,0,Opapp supports ‘no deadline’ on Marawi Siege end,,,,883637106647674880,https://twitter.com/dzrhdagupan/status/883637106647674880,en
